 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 1.00000000e+01  2.36169165e-03  5.72409904e-02  2.36152227e-03  5.71807446e-02 
 1.01157945e+01  2.42106441e-03  5.79547774e-02  2.42089199e-03  5.78938577e-02 
 1.02329299e+01  2.48203803e-03  5.86787103e-02  2.48186256e-03  5.86171098e-02 
 1.03514217e+01  2.54466102e-03  5.94129782e-02  2.54448246e-03  5.93506899e-02 
 1.04712855e+01  2.60898357e-03  6.01577752e-02  2.60880192e-03  6.00947921e-02 
 1.05925373e+01  2.67505771e-03  6.09133006e-02  2.67487294e-03  6.08496157e-02 
 1.07151931e+01  2.74293735e-03  6.16797594e-02  2.74274944e-03  6.16153655e-02 
 1.08392691e+01  2.81267833e-03  6.24573619e-02  2.81248728e-03  6.23922519e-02 
 1.09647820e+01  2.88433857e-03  6.32463245e-02  2.88414437e-03  6.31804912e-02 
 1.10917482e+01  2.95797813e-03  6.40468695e-02  2.95778076e-03  6.39803056e-02 
 1.12201845e+01  3.03365927e-03  6.48592253e-02  3.03345874e-03  6.47919236e-02 
 1.13501082e+01  3.11144661e-03  6.56836272e-02  3.11124292e-03  6.56155804e-02 
 1.14815362e+01  3.19140723e-03  6.65203170e-02  3.19120038e-03  6.64515177e-02 
 1.16144861e+01  3.27361071e-03  6.73695435e-02  3.27340071e-03  6.72999843e-02 
 1.17489755e+01  3.35812934e-03  6.82315628e-02  3.35791621e-03  6.81612364e-02 
 1.18850223e+01  3.44503820e-03  6.91066387e-02  3.44482195e-03  6.90355376e-02 
 1.20226443e+01  3.53441526e-03  6.99950427e-02  3.53419593e-03  6.99231595e-02 
 1.21618600e+01  3.62634160e-03  7.08970546e-02  3.62611921e-03  7.08243816e-02 
 1.23026877e+01  3.72090147e-03  7.18129624e-02  3.72067605e-03  7.17394923e-02 
 1.24451461e+01  3.81818249e-03  7.27430633e-02  3.81795409e-03  7.26687884e-02 
 1.25892541e+01  3.91827580e-03  7.36876634e-02  3.91804448e-03  7.36125762e-02 
 1.27350308e+01  4.02127626e-03  7.46470785e-02  4.02104207e-03  7.45711714e-02 
 1.28824955e+01  4.12728257e-03  7.56216344e-02  4.12704559e-03  7.55448997e-02 
 1.30316678e+01  4.23639752e-03  7.66116669e-02  4.23615781e-03  7.65340971e-02 
 1.31825674e+01  4.34872816e-03  7.76175231e-02  4.34848583e-03  7.75391105e-02 
 1.33352143e+01  4.46438605e-03  7.86395609e-02  4.46414118e-03  7.85602979e-02 
 1.34896288e+01  4.58348745e-03  7.96781501e-02  4.58324015e-03  7.95980291e-02 
 1.36458314e+01  4.70615357e-03  8.07336726e-02  4.70590397e-03  8.06526859e-02 
 1.38038426e+01  4.83251085e-03  8.18065232e-02  4.83225908e-03  8.17246632e-02 
 1.39636836e+01  4.96269123e-03  8.28971097e-02  4.96243744e-03  8.28143689e-02 
 1.41253754e+01  5.09683239e-03  8.40058541e-02  5.09657674e-03  8.39222247e-02 
 1.42889396e+01  5.23507813e-03  8.51331925e-02  5.23482081e-03  8.50486670e-02 
 1.44543977e+01  5.37757865e-03  8.62795763e-02  5.37731985e-03  8.61941472e-02 
 1.46217717e+01  5.52449092e-03  8.74454725e-02  5.52423085e-03  8.73591323e-02 
 1.47910839e+01  5.67597902e-03  8.86313649e-02  5.67571793e-03  8.85441060e-02 
 1.49623566e+01  5.83221457e-03  8.98377542e-02  5.83195271e-03  8.97495692e-02 
 1.51356125e+01  5.99337713e-03  9.10651592e-02  5.99311477e-03  9.09760407e-02 
 1.53108746e+01  6.15965465e-03  9.23141176e-02  6.15939211e-03  9.22240582e-02 
 1.54881662e+01  6.33124395e-03  9.35851866e-02  6.33098155e-03  9.34941791e-02 
 1.56675107e+01  6.50835122e-03  9.48789444e-02  6.50808933e-03  9.47869815e-02 
 1.58489319e+01  6.69119259e-03  9.61959905e-02  6.69093158e-03  9.61030651e-02 
 1.60324539e+01  6.87999466e-03  9.75369472e-02  6.87973496e-03  9.74430522e-02 
 1.62181010e+01  7.07499517e-03  9.89024605e-02  7.07473724e-03  9.88075889e-02 
 1.64058977e+01  7.27644364e-03  1.00293201e-01  7.27618797e-03  1.00197346e-01 
 1.65958691e+01  7.48460210e-03  1.01709866e-01  7.48434922e-03  1.01613021e-01 
 1.67880402e+01  7.69974581e-03  1.03153180e-01  7.69949629e-03  1.03055338e-01 
 1.69824365e+01  7.92216411e-03  1.04623895e-01  7.92191858e-03  1.04525050e-01 
 1.71790839e+01  8.15216131e-03  1.06122796e-01  8.15192043e-03  1.06022941e-01 
 1.73780083e+01  8.39005757e-03  1.07650696e-01  8.38982206e-03  1.07549826e-01 
 1.75792361e+01  8.63618996e-03  1.09208445e-01  8.63596061e-03  1.09106553e-01 
 1.77827941e+01  8.89091353e-03  1.10796926e-01  8.89069117e-03  1.10694006e-01 
 1.79887092e+01  9.15460247e-03  1.12417059e-01  9.15438800e-03  1.12313106e-01 
 1.81970086e+01  9.42765137e-03  1.14069804e-01  9.42744576e-03  1.13964812e-01 
 1.84077200e+01  9.71047655e-03  1.15756160e-01  9.71028085e-03  1.15650125e-01 
 1.86208714e+01  1.00035175e-02  1.17477171e-01  1.00033329e-02  1.17370087e-01 
 1.88364909e+01  1.03072387e-02  1.19233925e-01  1.03070663e-02  1.19125788e-01 
 1.90546072e+01  1.06221307e-02  1.21027560e-01  1.06219719e-02  1.20918365e-01 
 1.92752491e+01  1.09487128e-02  1.22859261e-01  1.09485689e-02  1.22749005e-01 
 1.94984460e+01  1.12875343e-02  1.24730271e-01  1.12874068e-02  1.24618949e-01 
 1.97242274e+01  1.16391770e-02  1.26641885e-01  1.16390676e-02  1.26529495e-01 
 1.99526231e+01  1.20042574e-02  1.28595461e-01  1.20041679e-02  1.28481999e-01 
 2.01836636e+01  1.23834295e-02  1.30592417e-01  1.23833618e-02  1.30477882e-01 
 2.04173794e+01  1.27773872e-02  1.32634242e-01  1.27773432e-02  1.32518630e-01 
 2.06538016e+01  1.31868672e-02  1.34722490e-01  1.31868492e-02  1.34605801e-01 
 2.08929613e+01  1.36126528e-02  1.36858795e-01  1.36126631e-02  1.36741028e-01 
 2.11348904e+01  1.40555767e-02  1.39044867e-01  1.40556178e-02  1.38926021e-01 
