 frequency       v(/u_vc)        v(/u_vc)        v(/u_d)         v(/u_d)        
 1.00000000e+01  2.36160200e-03  5.72217219e-02  2.36160200e-03  5.72217199e-02 
 1.01157945e+01  2.42097328e-03  5.79353010e-02  2.42097328e-03  5.79352990e-02 
 1.02329299e+01  2.48194543e-03  5.86590241e-02  2.48194543e-03  5.86590221e-02 
 1.03514217e+01  2.54456693e-03  5.93930804e-02  2.54456692e-03  5.93930783e-02 
 1.04712855e+01  2.60888800e-03  6.01376638e-02  2.60888800e-03  6.01376617e-02 
 1.05925373e+01  2.67496066e-03  6.08929740e-02  2.67496066e-03  6.08929718e-02 
 1.07151931e+01  2.74283882e-03  6.16592156e-02  2.74283881e-03  6.16592134e-02 
 1.08392691e+01  2.81257833e-03  6.24365991e-02  2.81257832e-03  6.24365969e-02 
 1.09647820e+01  2.88423710e-03  6.32253408e-02  2.88423710e-03  6.32253386e-02 
 1.10917482e+01  2.95787520e-03  6.40256630e-02  2.95787519e-03  6.40256608e-02 
 1.12201845e+01  3.03355490e-03  6.48377943e-02  3.03355489e-03  6.48377921e-02 
 1.13501082e+01  3.11134081e-03  6.56619699e-02  3.11134081e-03  6.56619676e-02 
 1.14815362e+01  3.19130001e-03  6.64984314e-02  3.19130001e-03  6.64984291e-02 
 1.16144861e+01  3.27350211e-03  6.73474280e-02  3.27350210e-03  6.73474256e-02 
 1.17489755e+01  3.35801937e-03  6.82092155e-02  3.35801937e-03  6.82092132e-02 
 1.18850223e+01  3.44492689e-03  6.90840579e-02  3.44492689e-03  6.90840555e-02 
 1.20226443e+01  3.53430265e-03  6.99722266e-02  3.53430265e-03  6.99722242e-02 
 1.21618600e+01  3.62622772e-03  7.08740013e-02  3.62622771e-03  7.08739989e-02 
 1.23026877e+01  3.72078635e-03  7.17896703e-02  3.72078635e-03  7.17896679e-02 
 1.24451461e+01  3.81806619e-03  7.27195307e-02  3.81806618e-03  7.27195282e-02 
 1.25892541e+01  3.91815837e-03  7.36638886e-02  3.91815836e-03  7.36638861e-02 
 1.27350308e+01  4.02115774e-03  7.46230598e-02  4.02115774e-03  7.46230573e-02 
 1.28824955e+01  4.12716303e-03  7.55973701e-02  4.12716303e-03  7.55973675e-02 
 1.30316678e+01  4.23627703e-03  7.65871555e-02  4.23627703e-03  7.65871529e-02 
 1.31825674e+01  4.34860680e-03  7.75927629e-02  4.34860680e-03  7.75927603e-02 
 1.33352143e+01  4.46426389e-03  7.86145503e-02  4.46426389e-03  7.86145477e-02 
 1.34896288e+01  4.58336458e-03  7.96528877e-02  4.58336457e-03  7.96528850e-02 
 1.36458314e+01  4.70603009e-03  8.07081568e-02  4.70603008e-03  8.07081541e-02 
 1.38038426e+01  4.83238686e-03  8.17807526e-02  4.83238686e-03  8.17807499e-02 
 1.39636836e+01  4.96256684e-03  8.28710830e-02  4.96256683e-03  8.28710802e-02 
 1.41253754e+01  5.09670773e-03  8.39795697e-02  5.09670772e-03  8.39795670e-02 
 1.42889396e+01  5.23495333e-03  8.51066492e-02  5.23495333e-03  8.51066464e-02 
 1.44543977e+01  5.37745386e-03  8.62527729e-02  5.37745385e-03  8.62527700e-02 
 1.46217717e+01  5.52436629e-03  8.74184078e-02  5.52436628e-03  8.74184049e-02 
 1.47910839e+01  5.67585471e-03  8.86040377e-02  5.67585471e-03  8.86040347e-02 
 1.49623566e+01  5.83209078e-03  8.98101633e-02  5.83209077e-03  8.98101604e-02 
 1.51356125e+01  5.99325404e-03  9.10373037e-02  5.99325404e-03  9.10373007e-02 
 1.53108746e+01  6.15953248e-03  9.22859964e-02  6.15953248e-03  9.22859934e-02 
 1.54881662e+01  6.33112293e-03  9.35567990e-02  6.33112292e-03  9.35567960e-02 
 1.56675107e+01  6.50823159e-03  9.48502895e-02  6.50823159e-03  9.48502865e-02 
 1.58489319e+01  6.69107460e-03  9.61670676e-02  6.69107460e-03  9.61670645e-02 
 1.60324539e+01  6.87987861e-03  9.75077557e-02  6.87987860e-03  9.75077526e-02 
 1.62181010e+01  7.07488135e-03  9.88729998e-02  7.07488135e-03  9.88729966e-02 
 1.64058977e+01  7.27633239e-03  1.00263471e-01  7.27633238e-03  1.00263468e-01 
 1.65958691e+01  7.48449375e-03  1.01679866e-01  7.48449375e-03  1.01679863e-01 
 1.67880402e+01  7.69964074e-03  1.03122909e-01  7.69964074e-03  1.03122906e-01 
 1.69824365e+01  7.92206273e-03  1.04593355e-01  7.92206273e-03  1.04593351e-01 
 1.71790839e+01  8.15206403e-03  1.06091985e-01  8.15206403e-03  1.06091981e-01 
 1.73780083e+01  8.38996486e-03  1.07619615e-01  8.38996486e-03  1.07619612e-01 
 1.75792361e+01  8.63610232e-03  1.09177095e-01  8.63610232e-03  1.09177091e-01 
 1.77827941e+01  8.89083148e-03  1.10765306e-01  8.89083148e-03  1.10765303e-01 
 1.79887092e+01  9.15452657e-03  1.12385171e-01  9.15452657e-03  1.12385167e-01 
 1.81970086e+01  9.42758222e-03  1.14037647e-01  9.42758222e-03  1.14037644e-01 
 1.84077200e+01  9.71041479e-03  1.15723736e-01  9.71041479e-03  1.15723733e-01 
 1.86208714e+01  1.00034639e-02  1.17444482e-01  1.00034639e-02  1.17444478e-01 
 1.88364909e+01  1.03071939e-02  1.19200971e-01  1.03071939e-02  1.19200968e-01 
 1.90546072e+01  1.06220955e-02  1.20994343e-01  1.06220955e-02  1.20994339e-01 
 1.92752491e+01  1.09486881e-02  1.22825783e-01  1.09486881e-02  1.22825780e-01 
 1.94984460e+01  1.12875209e-02  1.24696533e-01  1.12875209e-02  1.24696530e-01 
 1.97242274e+01  1.16391759e-02  1.26607891e-01  1.16391759e-02  1.26607887e-01 
 1.99526231e+01  1.20042697e-02  1.28561212e-01  1.20042697e-02  1.28561208e-01 
 2.01836636e+01  1.23834563e-02  1.30557917e-01  1.23834563e-02  1.30557913e-01 
 2.04173794e+01  1.27774296e-02  1.32599492e-01  1.27774296e-02  1.32599488e-01 
 2.06538016e+01  1.31869266e-02  1.34687495e-01  1.31869266e-02  1.34687491e-01 
 2.08929613e+01  1.36127304e-02  1.36823558e-01  1.36127304e-02  1.36823555e-01 
 2.11348904e+01  1.40556740e-02  1.39009393e-01  1.40556740e-02  1.39009389e-01 
 2.13796209e+01  1.45166440e-02  1.41246794e-01  1.45166440e-02  1.41246790e-01 
 2.16271852e+01  1.49965846e-02  1.43537647e-01  1.49965846e-02  1.43537643e-01 
 2.18776162e+01  1.54965024e-02  1.45883930e-01  1.54965024e-02  1.45883926e-01 
 2.21309471e+01  1.60174716e-02  1.48287725e-01  1.60174716e-02  1.48287721e-01 
 2.23872114e+01  1.65606387e-02  1.50751218e-01  1.65606387e-02  1.50751214e-01 
 2.26464431e+01  1.71272294e-02  1.53276711e-01  1.71272294e-02  1.53276707e-01 
 2.29086765e+01  1.77185546e-02  1.55866625e-01  1.77185546e-02  1.55866621e-01 
 2.31739465e+01  1.83360176e-02  1.58523512e-01  1.83360176e-02  1.58523507e-01 
 2.34422882e+01  1.89811224e-02  1.61250060e-01  1.89811224e-02  1.61250056e-01 
 2.37137371e+01  1.96554821e-02  1.64049105e-01  1.96554821e-02  1.64049101e-01 
 2.39883292e+01  2.03608284e-02  1.66923639e-01  2.03608285e-02  1.66923635e-01 
 2.42661010e+01  2.10990228e-02  1.69876822e-01  2.10990228e-02  1.69876817e-01 
 2.45470892e+01  2.18720675e-02  1.72911990e-01  2.18720676e-02  1.72911986e-01 
 2.48313311e+01  2.26821191e-02  1.76032674e-01  2.26821191e-02  1.76032670e-01 
 2.51188643e+01  2.35315023e-02  1.79242607e-01  2.35315023e-02  1.79242603e-01 
 2.54097271e+01  2.44227264e-02  1.82545741e-01  2.44227264e-02  1.82545737e-01 
 2.57039578e+01  2.53585027e-02  1.85946264e-01  2.53585028e-02  1.85946260e-01 
 2.60015956e+01  2.63417643e-02  1.89448615e-01  2.63417644e-02  1.89448611e-01 
 2.63026799e+01  2.73756881e-02  1.93057503e-01  2.73756882e-02  1.93057498e-01 
